6,230391387702349
7,28381746280753
6,2224037170667525
6,378987477997597
8,540166794171801
6,361408509497939
8,222522901330635
7,122360517675372
9,914504767992824
8,400990535264471
9,055413963796035
8,173651324376188
7,086703340390579
8,666329067940325
4,954140497850503
8,925842296915972
5,182549914447492
8,857696209742086
7,873296738937827
3,5720357323868175
6,897380616757704
7,752162684711123
5,5986057370746165
9,297600369411757
9,503971536931694
6,705262142770473
9,919565222876022
9,961819928065808
5,002562997831878
12,068276949461044
6,978105874054425
8,37878540721536
11,275731538952234
7,507078783896526
11,340207151684178
8,602356377543133
10,182548342845447
7,73133503255364
10,055868782637354
10,992611073996878
8,873804168641897
6,341979700275081
10,296988578827285
7,906090431602122
6,9808390237155376
9,939619147733865
8,492630480436635
8,878460183012871
9,439721817104708
7,026195103712117
